CPU Utilization: 3%
Cores used: 1
Cores available: 31
+============================================================+
Running processes:
Process_1314    (06/28/2025 11:09:51AM)    Core: 20    38/100

Finished processes:
Process_1165    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1163    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1167    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1164    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1169    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1172    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1171    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1170    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1173    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1174    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1175    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1178    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1176    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1179    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1177    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1182    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1180    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1181    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1183    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1184    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1185    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1186    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1187    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1189    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1188    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1192    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1190    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1193    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1191    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1195    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1194    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1197    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1196    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1199    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1198    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1200    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1201    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1202    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1204    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1203    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1205    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1206    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1209    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1207    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1208    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1210    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1211    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1212    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1213    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1215    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1217    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1214    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1218    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1219    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1216    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1220    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1221    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1223    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1222    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1224    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1225    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1226    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1227    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1228    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1229    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1230    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1231    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1232    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1233    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1234    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1235    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1236    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1237    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1238    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1240    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1239    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1241    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1242    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1243    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1244    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1262    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1263    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1261    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1245    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1268    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1264    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1266    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1267    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1265    (06/28/2025 11:09:46AM)    Finished    100/100
Process_1247    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1248    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1270    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1271    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1272    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1274    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1250    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1276    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1278    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1280    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1282    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1284    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1286    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1275    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1288    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1273    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1290    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1277    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1292    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1283    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1279    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1294    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1281    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1296    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1252    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1298    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1300    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1287    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1302    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1304    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1306    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1289    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1293    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1295    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1285    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1297    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1299    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1301    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1305    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1303    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1307    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1291    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1254    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1316    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1317    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1319    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1318    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1320    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1321    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1322    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1324    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1325    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1323    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1327    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1328    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1326    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1329    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1330    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1331    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1332    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1333    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1334    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1335    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1336    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1337    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1338    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1339    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1340    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1341    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1342    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1345    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1346    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1344    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1343    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1347    (06/28/2025 11:09:54AM)    Finished    100/100
Process_1349    (06/28/2025 11:09:56AM)    Finished    100/100
